Sample name,X,Y,Z,R,116.071 29 1 (Proline [M+H]+) (ID: 1022),132.102 32 1 (Leucine [M+H]+) (ID: 1111),139.050 31 1 (Urocanate [M+H]+) (ID: 1475),156.077 27 1 (Histidine [M+H]+)(ID: 1741),182.081 32 1 (Tyrosine [M+H]+) (ID: 1829),"365.105 29 1 ([M+Na]+ of C12H22O11, Maltose) (ID: 1245)",106.050 27 1 (ID: 1341),111.056 28 1 (ID: 2740),150.112 27 1 (ID: 1184),181.072 32 1 (ID: 2704),209.060 33 1 (ID: 5624),227.127 251 1 (ID: 1779),228.159 364 1 (ID: 3085),84.045 30 1 (ID: 2065),244.227 380 1 (ID: 2021),272.258 436 1 (ID: 2281),288.253 373 1 (ID: 2504),316.284 427 1 (ID: 3954),357.310 368 1 (ID: 1607),435.367 535 1 (ID: 5741),598.488 531 1 (ID: 2730),702.535 478 1 (ID: 2079),84.045 49 1 (ID: 5730),86.097 31 1 (ID: 1918),91.055 54 1 (ID: 2736),91.055 32 1 (ID: 2140),94.066 30 1 (ID: 4608),95.061 32 1 (ID: 3061),97.076 31 1 (ID: 2584),102.055 29 1 (ID: 3090),103.055 32 1 (ID: 2774),104.107 27 1 (ID: 1551),112.028 28 1 (ID: 2286),115.087 27 1 (ID: 1619),117.057 32 1 (ID: 4570),117.074 28 1 (ID: 3978),118.065 55 1 (ID: 5721),118.065 32 1 (ID: 2732),119.049 32 1 (ID: 5665),119.090 31 1 (ID: 2516),120.066 27 1 (ID: 1441),121.040 31 1 (ID: 1620),121.065 251 1 (ID: 2773),122.043 32 1 (ID: 5728),125.986 23 1 (ID: 4100),129.102 27 1 (ID: 1344),130.050 30 1 (ID: 1338),130.065 32 1 (ID: 3058),130.065 53 1 (ID: 4575),131.053 32 1 (ID: 2777),133.097 24 1 (ID: 1736),133.105 32 1 (ID: 2699),134.045 28 1 (ID: 1689),134.117 27 1 (ID: 2716),136.076 32 2 (ID: 2717),137.046 32 1 (ID: 5677),140.053 31 1 (ID: 3059),143.997 24 1 (ID: 2865),144.102 30 1 (ID: 2718),146.060 32 1 (ID: 2705),146.117 31 1 (ID: 2776),148.060 28 1 (ID: 1534),149.023 172 1 (ID: 2737),151.116 28 1 (ID: 3959),159.065 231 1 (ID: 3086),165.054 32 1 (ID: 2727),165.091 251 1 (ID: 3063),166.053 28 1 (ID: 5706),166.086 32 1 (ID: 1698),175.119 27 1 (ID: 2525),177.102 32 1 (ID: 2750),184.169 235 1 (ID: 2765),203.052 27 1 (ID: 3946),203.102 29 1 (ID: 3076),211.144 190 1 (ID: 3973),212.201 282 1 (ID: 5725),215.154 214 1 (ID: 36),216.157 217 1 (ID: 4617),231.122 193 1 (ID: 4567),235.119 32 1 (ID: 2743),240.232 324 1 (ID: 1547),244.129 30 1 (ID: 5729),244.154 251 1 (ID: 2020),246.242 295 1 (ID: 2086),257.222 296 1 (ID: 3951),268.263 370 1 (ID: 1780),274.273 344 1 (ID: 525),323.206 261 1 (ID: 613),327.007 354 1 (ID: 2739),330.227 371 1 (ID: 5758),335.279 430 1 (ID: 2728),343.295 324 1 (ID: 1384),344.315 482 1 (ID: 4610),350.138 392 1 (ID: 474),352.305 430 1 (ID: 3967),367.268 259 1 (ID: 3082),371.326 369 1 (ID: 1438),373.305 361 1 (ID: 5737),381.079 29 1 (ID: 1740),384.295 259 1 (ID: 3088),391.341 446 1 (ID: 1739),399.250 436 1 (ID: 1737),423.331 427 1 (ID: 5673),438.378 484 1 (ID: 1954),440.357 428 1 (ID: 2284),442.337 283 1 (ID: 4609),454.373 457 1 (ID: 3089),466.409 557 1 (ID: 4618),466.409 543 1 (ID: 2741),470.350 473 1 (ID: 4579),482.405 482 1 (ID: 1608),484.384 426 1 (ID: 2288),490.181 371 1 (ID: 2722),491.373 469 1 (ID: 5658),492.363 471 1 (ID: 3060),498.399 455 1 (ID: 3069),500.378 305 1 (ID: 2757),502.373 464 1 (ID: 3093),510.436 556 1 (ID: 3969),514.376 470 1 (ID: 3091),526.394 454 1 (ID: 3107),528.410 425 1 (ID: 2719),536.389 468 1 (ID: 4555),542.426 454 1 (ID: 3950),558.420 326 1 (ID: 3092),570.457 479 1 (ID: 1688),572.436 423 1 (ID: 2751),590.426 461 1 (ID: 2771),598.488 554 1 (ID: 3972),614.483 478 1 (ID: 1862),616.461 349 1 (ID: 5731),616.462 422 1 (ID: 2714),630.478 449 1 (ID: 5702),634.452 459 1 (ID: 2733),642.514 553 1 (ID: 3073),642.514 528 1 (ID: 2707),654.441 443 1 (ID: 5703),656.529 544 1 (ID: 4615),660.488 420 1 (ID: 2711),678.478 457 1 (ID: 2712),686.540 525 1 (ID: 4614),698.467 442 1 (ID: 5705),702.499 447 1 (ID: 5704),704.514 418 1 (ID: 4596),742.494 441 1 (ID: 4010),746.525 445 1 (ID: 5622),748.540 417 1 (ID: 5724),786.520 440 1 (ID: 4018),790.551 443 1 (ID: 5690),810.557 452 1 (ID: 5771),830.546 438 1 (ID: 5629),848.629 522 1 (ID: 5739),878.639 480 1 (ID: 2109)
#plus_pos,2957,2233,0,50,12706691.39,17352090.59,11099136.61,386077.1387,3669728.267,43810985,5286212.75,1052831.547,3510352.699,907388.4512,0,4394772.875,0,4214299.063,4550713.5,2486469.156,601923.9063,80996.45313,0,788560.6953,1869380.641,4120499.219,1347146.109,4297354.336,1518358.781,3066151.438,607880.1563,257447.3359,449593.7148,1085760.859,1137288.75,20683695.29,102969.8281,1538241.745,0,617538.0625,5843524.578,2427227.719,396486.9668,920734.2813,4246855.563,2964716.043,2201682.719,172254.75,7741566.711,4679598.469,16957444.44,195537.4219,119543.0371,467162.5625,315774.0713,978454.0449,1227913.484,2098461.734,1646575.961,518990.7695,530901.3418,10869330.97,3986801.133,152854.7344,1418297.898,3038238.68,1244603.391,91444.5625,0,613027.791,1155515.781,327511.6191,5345238.813,78614.89551,701022.5098,585732.2227,2098651.969,264008.8008,235371.1172,127483.6289,47613228.13,6230874.563,854194.4531,322140.4961,6569032.156,251739.3047,3967556.738,22963.6889,0,898587.7734,26726832.81,1128003128,165321.7344,129522.6328,1408388.484,14797594.88,783828.3125,68543746.13,884224.4766,609727.6094,2833170.039,0,836135.0469,506944.1641,0,2981474.5,0,4348373.875,1581152.375,232400.5293,1171467.383,704272.3984,1227040.391,1005111.578,5524714.25,1407731.188,0,642162.1367,717701.2266,980486.4453,823946.2031,595696.2031,726317.9531,431242.7383,18203461,1134370.625,54223.28516,638157.5469,530224.3711,3152053.188,674330.5313,693601.5078,731936.5547,2566518.094,700814.2344,494176.25,379277.6328,766694.2539,525416.3984,1254441.172,3305864.875,596711.9531,195978.875,456645.7422,536285.2344,5767972.813,8847381,89034.92188,7208654,6572741.5,0,6491416.313,5468279.5,0,5653434,277190.3125,294011.9688
0plus_pos,2641,2141,0,50,154662846.1,141997578.6,154464585.4,11646441.27,48189637.03,74395959.13,31711699.13,1821442.605,67691354.38,7420746.305,11876485.13,12162582.88,3627008.086,10696038.83,15423358,8138643.938,5735940.578,2321293.094,13726859.13,2102069.875,2903726.625,6732660.375,2238935.922,27915029.33,2700772.625,7655984.977,1717664.938,932227.1094,807744.3594,4196119.875,4369908.516,87103700.06,5550262.586,28720582.7,456730.0488,8393930.705,4426721.781,4743028.5,2527946,2823980.641,23643839.13,21536729.75,5224613.844,1325515.301,16218360.43,51421856.5,122430167.2,1155657.891,3417645.109,5102196.141,6947899.906,8696590.977,12854557.88,5488328.563,10412139.88,2757233.063,10930951.06,21196646.33,5888723.836,2949543.031,2502426.875,22227501.38,3413584.688,1216748.828,285038.1602,8903021.656,2053744.688,4271930.406,56870834.38,811669.0938,3633966.867,2079097.02,7114731.156,1730051.016,1136612.707,1733727.953,47889926.19,5770991.719,982612.0176,1906468.766,56321852.88,942592.2188,8230530.875,7805652.961,15112893.56,21275047.63,85878662.38,1002691425,2544587.625,2866006.281,4060683.813,116491434,1713082.414,55199137.88,2000149.82,2600674.828,68561375.38,91703.32813,7740799.5,1714763.02,4796862.813,19468742.75,1484576.031,7510418,7846572.813,1307309.117,4411347.719,1601063.203,1840176.234,4995822.266,8280183.063,8088547.5,2253555.156,5756791.938,3810568.141,3832351.969,3352234.656,1212831.531,2354536.75,4046613.023,33167477.75,6356105.125,1937261.555,3185248.375,3855854.25,7372419.625,5463730.625,1901328.348,3001144.656,12654669.5,4450666.25,3889536.641,1983535.891,2124983.852,2521150.719,2103672.156,7176834.438,1081610,3112312.375,1831810.703,1046574.609,11209311.34,17482995.75,1826825.375,13418950.88,13441002,1008519.586,14603356.75,12821894.5,368157.5625,12614585,2300215.875,1796433.813
1plus_pos,2553,1433,0,50,158118678.3,230528298.6,356949358.8,12467468.18,54020086.39,46413351.5,36173908.75,1971248.109,99273584.75,8470178.68,7041229.969,8263268.75,2546025.531,24869500.78,10333084.5,6475257.281,4113729.332,1617447.969,7947807.203,1442690.438,1847893.547,5559426.438,2264216.922,74707464.39,2637241.813,15189101.75,1618332.313,3530665.875,675280.2266,6239204.688,10304403.03,71822899.25,5292927.123,30087916.13,507774.7637,7076388.158,4469566.125,7470294.938,5191202.719,4533947.852,26503152.63,66064807.5,3768271.789,2283824.938,9448206.539,20891177.5,219840443.6,1888776.922,4984062.344,7151268.438,9972742.406,14459672.13,14759645.25,4498769.688,14996566.44,3402758.77,15235141.09,13703881.84,22380403.41,4102251.328,4849582.469,23783811.5,3192450.156,814962.1172,254918.9336,10174714.52,1633755.281,4070712.141,75227832,705989.7578,3321775.203,1423465.488,3741176.188,1526774.063,1313187.758,1038376.836,45817098.88,4874764.219,907449.4697,2442293.035,32314219.13,2601933.781,6243440.25,7876085.063,4403383.422,6606842.578,73105438.5,1161436035,2859536.594,2067987.941,3148290.195,65733978.75,1543863.813,52331730.38,1588388.227,1234020.727,38390603.75,0,5112429.563,695859.4023,1629919.813,15859911.06,956871.6094,3426870.375,5561132.438,745477.1875,3268246.074,1120321.313,1367497.969,3691366.305,5487432.5,6058175.5,1465207.359,1530919.578,2705674.098,2777322.547,2221234.594,828636.5938,1450078.969,1874838.289,11624354.31,4519141.188,1217999.164,1826328.375,1670423.305,3961050.875,3509900.438,1297960.234,1762045.625,3503935.125,1425404.281,2634618.344,1584830.781,1122120.359,1562115.875,1244546.016,1671965.094,649647.4531,1852907.281,1000369,702756,2755868.164,5879090.391,1338734.719,4077996.375,4448547.438,628928.9922,4156547.25,3049255.313,0,3846907.563,1383395.625,746924.4766
2plus_pos,2837,1500,0,50,3897505.789,6545614.219,3551347.112,263355.0234,982515.3125,1346726.125,1081493.313,669258.0938,1491909.5,275724.1748,45865.31641,1337483.656,0,2431804.703,3983092,2485053.063,658807.1484,0,0,686224.4063,554729.3789,2490126.234,690958.4063,1538920.336,1876537,2579760.344,1095255.469,81816.08789,151884.2949,559504.4063,491739.2813,5091992.859,824796.3438,635860.2129,0,114406.0156,3513932.383,1604461.594,84526.64063,842613.0625,1137483.188,623345.9043,1962862.102,0,6755922.719,957127.625,5955203.117,313642.4922,850256.0459,110882.3906,79385.59375,275067.2813,480390.8281,857741.7656,400334.3438,117607.1953,221391.1445,7301025.875,3027062.023,140471.6563,1429098.43,1411428.793,2468146.656,62464.27148,119340.2656,224967.0156,957383.6563,88336.46875,1349815.708,60717.4375,85128.35938,50990.71484,1280626.258,85151.97266,339584.4746,52226.02148,44173503.63,5928650.336,438214.501,0,2386044.953,21089.41797,1396399.891,1619828.227,899317.125,969935.1992,23792319.91,1199778773,0,474755.4531,1324221.727,5741592.313,1431896.82,65196327.75,576163.3047,281236.2656,3924809.363,0,0,158864.7109,83522.29688,2078017.141,304775.2344,3879654.875,1652219.141,0,1295718.977,1032826.656,390717.25,1370530.586,3815096.938,1548712.422,193061.6797,245952.9648,528584.6875,904264.5469,319264.0664,486271.7031,1751775.438,210096.3672,4061621.563,999793.9531,36463,703880,141814.9844,1523712.438,918200.1094,428201.4531,2100106.172,1570803.063,78088.49219,314027.8125,311280.3281,551640.7578,1996280.078,744778.6328,242599.4297,57982.53125,107271.6094,289549.9805,62038.94141,755603.1797,1948877.219,324835.2578,972001.7031,1182137.188,0,1145794.875,1125085.344,0,1086354.375,356423.8984,0
3plus_pos,3109,1581,0,50,5886714.5,8151307.547,5896535.801,925051.8604,1514003.471,1904001.938,1535962.996,642396.0625,1742709.555,243219.0645,16031.79785,1451920.563,0,2655968.164,3451360.438,2205925.234,610754.9063,62468.26172,0,507367.7773,484009.0391,2117667.656,773559.6094,2490660.475,1973510.813,2848414.813,936409.5156,253701.7578,135331.1445,662319.5156,495530.875,5402173.469,622008.7227,1207215.491,0,221574.4688,3640955.297,1715350.406,80053.36719,786692.4219,1153888.063,886562.2588,1725487.73,0,19881688.94,1586429.375,7861419.383,295750.1055,970866.0664,204197.9219,728628.3164,551947.9658,549080.4805,1004134.396,465167.0371,110570.5078,269180.875,20893390.25,9435104.461,106792.2891,1314534.156,1546429.934,2468379.938,82593.79297,35766.90234,298618.9297,749011.5313,237756.9531,2268583.57,118574.2295,94163.61719,324285.0547,2700366,15607.00879,281806.7061,193170.6094,39541010.88,3836313.75,457373.5781,0,2871828.719,52677.21094,929823.1563,1717368.609,497908.1328,1156052.965,24080228.03,1139125250,901111.125,710708.6367,1536108.172,5572817.563,727765.125,65456672.13,700350.125,281724.7539,3996468.813,0,81661.50977,32294.45117,213089.2813,2161720.859,91737.08594,2521261.188,1496447.641,25096.51758,1316665.219,507548.5313,487748.3789,1124674.555,3794466.688,1521584.227,454141.1484,0,868007.625,1115223.859,206161.5078,475881.0391,808838.6484,567750.6172,2674574.25,1284239.969,76530.39063,535492.3672,0,1790588.719,721122.2891,784570.6016,791399.8359,1782793.75,74248.39844,425003.0859,363325.957,518854.125,783958.8867,285755.5625,280245.6172,48298.14453,230291.2031,473989.9609,0,352193.3398,1157333.578,479116.2813,291065.2344,487467.625,0,481878.7734,363272.8281,208094.0313,76291.0625,255198.0938,0
4plus_pos,2509,1653,0,50,38841706.75,55876930,74768287.09,3018913.918,15769101.04,14185955.5,15106063.56,689822.2031,10964945.69,1861334.151,816587.5635,2796410.75,142116.1094,9388908.344,5522793.906,2946846.848,1035574.656,214034.8281,335331.625,610255.9844,582351.9961,3266983.016,1169559.641,20831822.98,2233435.688,6619680.563,1450370.266,1244820.645,106305.0215,1518384.188,2838827.813,22131184.97,3399748,5172628.854,54356.13281,1952154.921,3381999.828,3249766.656,1587920,1524182.867,9730677.438,13643030.71,1944910.828,808771.416,13295522.53,7654443.688,63492071.69,651178.5703,978287.9063,3175155.02,1339649.844,3458659.797,4881968.188,1691274.094,4700222.766,1858368.602,5004468.585,15025740.28,8779091.68,682753.5859,2029212.289,7031001.25,2689050.156,209312.7266,31232.40234,3071450.625,1221224.484,1491860.031,17218876.56,568356.3418,1024595.809,613866.8125,2756040.727,1084669.508,641670.7832,490937.2656,45154788.63,5359494.406,683453.0977,467324.1563,10089047.17,700597.9531,2091426.367,2075018.855,3516578.281,3009641.18,32517827.56,1041454060,1078293.469,550008.9063,1488303.578,23619578.75,1927119.188,56256061.25,768942.625,383550.0195,8099202.992,0,643354.9297,634723.3672,0,3767089.375,326652.4844,3432953,2370178.766,442468.5664,1623452.434,633079.4688,588537.2813,1437408.008,4004462.563,2168810.047,811792.5195,1890961.938,635288.5313,1372283.047,998410.8125,615300.9688,1080829.813,469629.6758,8568100,1515325.547,268944.5391,989772.5625,1010245.32,2641731.625,1082013.25,993371.3828,1114272.844,2219669.031,1037554.063,652182.5156,462032.9922,595845.8438,694835.1016,412832.7305,1333799.375,0,692802.9375,1096779.188,91174.24219,2347907.594,4489917.922,255307.1016,2703888.094,3558614.25,69156.07031,3346244.5,2729911.75,0,3542413.156,164641.7031,92720.38281
5plus_pos,2761,1709,0,50,3205102.789,6024537.258,4272999.22,777339.5996,968130.6836,1257848.469,1164573.344,507041.375,1348396.984,142487.8584,0,1248364.594,0,2053610.07,3423099.938,2210367.672,770924.3672,85551.89063,0,803041.9141,592245.4297,2305909.695,686104.9688,1731125.676,1958293.125,2720810.313,821589.0313,162168.4727,136447.2285,516287.125,496023.6094,5879627.633,368977.6641,852720.5576,0,18710.00195,3279915.969,1264142.5,166023.0762,922053.7051,752853.0781,740408.6855,2049671.223,18666.04297,9875057.313,1304852.375,5142045.57,371088.8906,757937.6504,85015.89844,519409.7148,264000.1348,457899.5781,1063658.742,537564.1094,105736.7109,230078.6563,11920775.13,1935002.328,282633.9648,1232289.93,1432438.66,2454008.656,64774.55762,0,349397.3906,821455.4844,231644.5,2063655.168,119204.4063,17406.02734,129531.0879,1550367.188,115049.6836,327981.4629,69539.79883,44678353.53,5687495.531,517071.0205,73995.48438,1795315.48,34606.63184,967262.8906,1263752.875,305319.2031,479483.8711,15819967.81,1087916796,532911.3438,98714.48438,1578948.535,3929611.984,959513.3125,61865933.75,662950.9453,148105.4375,1524332.086,0,60042.13574,34825.61328,0,2202346.828,79094.58594,3453943.5,2307040.391,0,1120391.891,660725.3281,453144.6328,989103.5703,3420510.188,1647686.844,336366.4688,39123.49609,247066.6563,969205.8867,92160.67969,479216.7188,1110436.516,84387.90625,2508186.656,854692.2734,37123.89063,772311.4063,0,2161121.063,574744.4531,622836.1563,1127844.719,1569309.68,71430.49219,251913.8125,284577.4766,648482.1289,966927.2969,575839.9883,122531.3672,54837.12891,210967.2578,494888.4219,0,231040.0234,872974.6875,96488.05469,242440.8125,634032.7813,0,544586.5703,469327.0781,0,314237.4922,305845.3438,0
6plus_pos,3069,1813,0,50,3863590.766,9210497.938,6273074.523,889075.1016,1507306.582,2435965.781,1173422.07,478517.3867,3064150.125,593558.7012,0,2019883.594,0,1856979.703,4478238.875,2338875.125,787622.6563,85118.1875,0,676105.6563,577313.7852,3119487,653626.8594,1632442.068,2039114.25,3574138.625,944354.0938,130503.8262,184641.5938,365491.7109,411834.6914,6930934.875,220765.5234,1061592.918,0,132692.8838,3401698.477,1524208.906,130561.1641,1396686.521,923089.4531,1176032.168,1874207.063,25732.9668,16612366.31,6332969.938,7277440.953,405316.1719,772240.5938,252031.4707,714457.6016,432349.0225,695377.3906,438831.4063,529179.4844,333395.8945,281796.9141,18736582.69,2690031.203,176073.1797,1740280.695,967789.3984,2350303.531,21467.42773,67955.15625,240423.6914,981015.5156,94470.14063,2015496.266,201437.7188,55881.73047,269463.5625,695524.8516,154441.7578,269216.332,47691.30859,45087721.75,4284699.141,396058.9912,123288.3047,2887659.211,56759.62891,1474663.844,1878366.602,572840.6328,745874.5156,22242199.75,1175191948,629230.5781,639205.6094,1187901.375,6031639.75,605789.4531,58873947,447484.0391,266290.5547,2994115.52,0,87035.66797,153969.0039,0,1436687.063,112213.0391,2304476.125,1559704.734,0,1040683.609,499316.1875,661870.5938,957176.0781,3063071.031,1238774.664,339370.75,39613.74609,570116.0469,749755.5391,188565.3672,419143.8281,905264.0938,347861.9258,4619460.375,948103.4922,0,765321.3203,0,2138762.594,503716.2891,475594.0195,799295.1328,1683938.297,135684.4961,595136.7266,430673.0859,154292.7188,907121.8906,449326.3281,486164.5938,120122.1172,0,498656.4063,284959.9063,1143381.703,2081560.5,203001.8594,781079.9375,1066297.094,0,913048.7188,1045923.199,0,1043693.5,481342.9219,0
7plus_pos,2441,1861,0,50,172115995.7,142208723.8,158326748.5,10506491.06,41019822.47,32958305.5,50656329.13,3925220.672,112475779,5525609.164,7877513.531,6817445.969,2999547.875,8792063,16570035.69,7448595.031,4480582.41,1959077.219,4889934.996,1698933.516,2463237,7689355.375,2908173.625,16497149.27,3298396.063,5274675.75,1330089.516,946556.2109,1116071.977,7175396.188,3988869.5,72081545.75,5625620.85,31113833.44,533240.168,7580551.889,7342910,4760163.063,2632148.234,3994199.266,35290986.63,20500552.16,3714041.523,1142058.578,24950673.09,36761001.63,106106228.1,1102034.156,2294960.641,3866401,8414733.906,8570847.758,18988677.5,11642698.34,10006672.88,1759828.984,10667516.19,32783859.97,35407802.7,2183574.359,2627631.828,29225856.5,1757321.641,2518985.781,128095.0898,6373232.344,1378331.641,5273587.719,48251069.63,2008721.887,2376064.328,1479130.121,10042831.7,3800697.297,1143412.422,1037969.168,45428496.13,5647147.156,1313124.082,1147231.545,31214572.56,1811495.844,7770142.953,6399875.328,4266548.125,3599464.5,75398605.03,1028113459,2414408.125,2308521.375,3529751.195,78712940.13,2224879.359,61478510.75,1794605.617,1360854.969,57296391.75,858485.9453,2657286.938,1165670.875,0,17525134.72,978902.7969,5330324.375,5904402.75,836504.2188,4038649.141,2274982.594,2232338.844,4008117.594,5234125.75,6082994.656,1638121.512,1934714.922,2196798.637,3205961.328,1487485.984,944480.2813,3294777.266,2725339.508,12159528.25,4340230.813,1688112.602,2682091.375,1414131.922,4237456.438,3656669.719,1542399.172,3088629.063,4135589.125,1327889.172,2547409.781,1458059.094,1276473.297,2537006.469,2421663.063,2222626.172,1034599.828,1900526.813,1374767.719,1321956.563,3794884.219,6298695.75,1425721.125,4629663.625,4723744.969,952194.6563,3838488.219,4112228.5,341019.2656,3785860.438,1491120.078,1626414.188
8plus_pos,2725,1921,0,50,52253840.13,85858365.25,117787998,2690803.65,21007539.54,13542608,25677221.13,1918378.391,48259041.63,2881362.754,1524994.277,4173722.406,1479383.75,8535441.313,13845657.5,7146877.156,3901153.281,1845695.797,5223031.418,1512980.469,2900721.781,7976706.625,1900432,19440017.38,1914898.938,6367057.063,967503.1875,1485847.484,322952.7109,3060419.594,4094426.438,27132323.56,3457115.88,8437643.08,30624.5625,2588591.071,5905876.969,4449706.219,2458025.031,3303502.836,16207414.44,18546820.7,2274195.34,1255259.58,17734284.97,17097310.38,71455649.25,558371.7031,261767.0444,3771813,2060538.789,5056144.523,5711585,3984942.609,7157702.109,2134557.496,7889140.25,25168571.47,8061960.172,1102131.098,2974428.703,12236156.36,1484985.734,850498.8672,0,3651100.217,1068545.688,2922583.781,23242512.75,534808.8867,1550587.109,781528.582,4554037.188,1299829.25,654804.043,859660.9766,49208979.5,6309391.25,682416.0332,661038.6992,28343210.53,874526.4766,4333862.719,1753703.895,1699574.035,3427256.953,34927825.31,1055594610,2500036.688,1860567.594,2878875.961,73460028.38,1760286.648,61687228.5,2104737.859,571619.3555,56845852.75,0,522159.9453,558028.8711,0,18068587.69,839151.8828,6099321.25,6150739.148,499365.7324,3280950.188,821299.9063,2408311.25,2896385.664,6715581,5589679.406,869218.4414,740236.2734,2473128.703,2782698.125,880469.0234,1024566.859,1925979.293,2345165.645,7234736.375,5043475.563,1330698.617,2355724.125,903692.4844,6166269,4472251.813,1370473.672,2813623.297,4704449.75,545694.2578,2697473.188,1583680.797,1484601.043,2562272.672,2089431.031,711042.3164,1148266.594,2218046.625,1440943.188,1443740.563,1588477.328,3744654.328,1554314.906,2399425.219,3460431.688,532189.8281,2933789.156,2233803.125,0,2339476.969,1656432.18,2215591.461
