Name,X,Y,Z,radius,Pseudo,Achrom
B1,141,353,0,10,0.9496365524,0.0263157895
B2,201,321,0,10,0.9989615784,0
B3,267,303,0,10,0.9994807892,0
B4,323,297,0,10,1,0
B6,205,363,0,10,0.9958463136,0
B7,265,363,0,10,0.997403946,0.0131578947
B8,323,357,0,10,0.9963655244,0.0131578947
B9,381,349,0,10,0.9994807892,0
C1,127,539,0,10,0.9984423676,0.0131578947
C2,195,505,0,10,0.9994807892,0
C3,267,485,0,10,1,0
C4,329,473,0,10,0.997403946,0
C5,391,469,0,10,0.9968847352,0.0131578947
C6,199,553,0,10,0.9979231568,0
C7,269,549,0,10,0.9984423676,0
C9,399,539,0,10,0.9989615784,0.0131578947
D10,273,753,0,10,0.997403946,0.1315789474
D11,347,745,0,10,0.994807892,0
D12,419,727,0,10,0.9984423676,0.0657894737
D1,127,719,0,10,0.9963655244,0.0526315789
D2,195,679,0,10,0.9963655244,0
D3,271,653,0,10,0.9979231568,0.0131578947
D4,347,633,0,10,0.9859813084,0.2894736842
D5,405,625,0,10,0.9953271028,0.0263157895
D7,272,707,0,10,0.9979231568,0.0263157895
D8,347,687,0,10,0.9984423676,0.0131578947
D9,423,667,0,10,0.9984423676,0.0394736842
E10,333,907,0,10,0.9989615784,0
E11,407,901,0,10,0.9963655244,0
E1,129,863,0,10,1,0.0131578947
E2,183,849,0,10,0.9968847352,0.0263157895
E4,309,843,0,10,0.994807892,0.1052631579
E5,359,837,0,10,0.994807892,0.0789473684
E6,425,837,0,10,0,0.75
E7,123,903,0,10,0.9984423676,0
E9,265,907,0,10,0.997403946,0.0131578947
F10,345,1119,0,10,0.9968847352,0.0526315789
F1,151,1049,0,10,0.997403946,0.0263157895
F2,255,1013,0,10,0.9901349948,0.1578947368
F3,363,989,0,10,0.9906542056,0.1052631579
F5,271,1065,0,10,0.9937694704,0.0789473684
F8,111,1105,0,10,0.9984423676,0.0131578947
F9,211,1113,0,10,0.9989615784,0
G10,131,1371,0,10,0.9963655244,0.0394736842
G12,345,1383,0,10,0.9953271028,0.3157894737
G1,123,1279,0,10,0.9849428868,0.0263157895
G2,225,1243,0,10,0.9963655244,0.0657894737
G3,343,1215,0,10,0.9937694704,0.0394736842
G4,141,1301,0,10,0.9937694704,0.0394736842
G5,283,1285,0,10,0.9880581516,0.25
G6,417,1269,0,10,0.9968847352,0.0789473684
G7,131,1333,0,10,0.9979231568,0.0657894737
G8,275,1337,0,10,0.9968847352,0.0657894737
G9,405,1337,0,10,0.9958463136,0.0657894737
H10,201,1579,0,10,0.9953271028,0.1052631579
H12,405,1567,0,10,0.9968847352,0.4342105263
H13,111,1629,0,10,0.9745586708,0.2631578947
H14,201,1631,0,10,0.9880581516,0.0394736842
H15,293,1625,0,10,0.9942886812,0.1184210526
H16,377,1615,0,10,0.9916926272,0
H1,115,1495,0,10,0.9989615784,0.0526315789
H2,195,1475,0,10,0.9937694704,0
H3,291,1467,0,10,0.997403946,0
H4,393,1463,0,10,0.9968847352,0.0526315789
H5,101,1537,0,10,0.9937694704,0.0657894737
H6,199,1527,0,10,0.997403946,0.0526315789
H7,297,1523,0,10,0.9579439252,1
H8,405,1513,0,10,0.98701973,0.3026315789
H9,99,1585,0,10,0.994807892,0.1052631579
I1,89,1769,0,10,0.9942886812,0
I2,125,1759,0,10,0.9942886812,0.0131578947
I3,181,1745,0,10,0.9979231568,0.0131578947
I4,249,1737,0,10,0.9984423676,0.2368421053
I5,325,1729,0,10,0.9901349948,0.0263157895
I6,383,1723,0,10,0.9984423676,0.4473684211
I7,431,1711,0,10,0.9781931464,0.0921052632
